# file...... output/gpr_SWT_Pout.csv
# date...... Fri Jul  9 16:35:40 2021
# user...... cosim
# host...... (null)
# group..... class=switch
# property.. power_out_real
# limit..... 10000000
# interval.. 1
# timestamp,switch_2_3,switch_4_5
2021-01-01 00:00:02.039999962 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.049999952 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.059999943 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.069999933 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.079999924 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.089999914 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.099999905 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.109999895 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.119999886 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.130000114 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.140000105 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.150000095 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.160000086 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.170000076 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.180000067 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.190000057 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.200000048 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.210000038 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.220000029 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.230000019 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.240000010 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.250000000 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.259999990 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.269999981 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.279999971 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.289999962 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.299999952 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.309999943 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.319999933 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.329999924 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.339999914 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.349999905 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.359999895 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.369999886 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.380000114 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.390000105 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.400000095 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.410000086 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.420000076 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.430000067 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.440000057 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.450000048 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.460000038 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.470000029 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.480000019 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.490000010 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.500000000 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.509999990 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.519999981 EST,+2.70043e+06,+1.5e+06
2021-01-01 00:00:02.529999971 EST,+2.70043e+06,+1.5e+06
